555,diamondhunt,Diamond Hunt,Slots,platipus
553,undiademuertos,Un Dia De Muertos,Slots,platipus
552,littlewitchy,Little Witchy,Slots,platipus
551,wildjustice,Wild Justice,Slots,platipus
550,leprechauns, Leprechauns Coins,Slots,platipus
549,bamboogrove,Bamboo Grove,Slots,platipus
547,guisesofdracula,Guises of Dracula,Slots,platipus
548,mightofzeus,Might of Zeus,Slots,platipus
546,thousandonespins,1001 Spins,Slots,platipus
544,lordofthesun,Lord of the Sun,Slots,platipus
545,hotfruits,7 & Hot Fruits,Slots,platipus
540,wealthofwisdom,Wealth of Wisdom,Slots,platipus
543,hawaiiannight,Hawaiian Night,Slots,platipus
542,santasbag,Santas Bag,Slots,platipus
541,royallotus,Royal Lotus,Slots,platipus
539,chillifiesta,Chilli Fiesta,Slots,platipus
538,dynastywarriors,Dynasty Warriors,Slots,platipus
536,wildspin,Wild Spin,Slots,platipus
537,dajidali,Da Ji Da Li,Slots,platipus
535,theancientfour,The Ancient Four,Slots,platipus
533,dragonselement, Dragons Element,Slots,platipus
534,caishensgifts,Caishens Gifts,Slots,platipus
532,piratesmap,Pirates Map,Slots,platipus
531,jackpotlab,Jackpot Lab,Slots,platipus
529,azteccoins,Aztec Coins,Slots,platipus
530,chinesetigers,Chinese Tigers,Slots,platipus
528,rhinomania,Rhino Mania,Slots,platipus
526,webbyheroes,Webby Heroes,Slots,platipus
527,luckycat,Lucky Cat,Slots,platipus
554,frozenmirror,Frozen Mirror,Slots,platipus
492,pharaohsempire,Pharaohs Empire,Slots,platipus
491,bisontrail,Bison Trail,Slots,platipus
485,jadevalley,Jade Valley,Slots,platipus
488,neonclassic,Neon Classic,Slots,platipus
452,powerofposeidon,Power of Poseidon,Slots,platipus
486,greatocean,Great Ocean,Slots,platipus
450,megadrago,Mega Drago,Slots,platipus
442,legendofatlantis,Legend of Atlantis,Slots,platipus
448,aztectemple,Aztec Temple,Slots,platipus
465,bookofegypt,Book of Egypt,Slots,platipus
444,tripledragon,Triple Dragon,Slots,platipus
477,cinderella,Cinderella,Slots,platipus
425,crystalsevens,Crystal Sevens,Slots,platipus
476,loveis,Love is,Slots,platipus
475,luckymoney,Lucky Money,Slots,platipus
480,monkeysjourney,Monkeys Journey,Slots,platipus
469,sakurawind,Sakura Wind,Slots,platipus
446,magicalmirror,Magical Mirror,Slots,platipus
483,powerofgods,Power of Gods,Slots,platipus
386,cleosgold,Cleos Gold,Slots,platipus
392,fieryplanet,Fiery Planet,Slots,platipus
395,jewelbang,Jewel Bang,Slots,platipus
401,princessofbirds,Princess of Birds,Slots,platipus
400,fairyforest,Fairy Forest,Slots,platipus
426,safariadventures,Safari Adventures,Slots,platipus
409,crocoman,Crocoman,Slots,platipus
428,juicyspins,Juicy Spins,Slots,platipus
424,fruitysevens,Fruity Sevens,Slots,platipus
423,junglespin,Jungle Spin,Slots,platipus
417,arabiantales,Arabian Tales,Slots,platipus
393,mistressofamazon,Mistress of Amazon,Slots,platipus
394,magicalwolf,Magical Wolf,Slots,platipus
429,richywitchy,Richy Witchy,Slots,platipus
427,luckydolphin,Lucky Dolphin,Slots,platipus
443,crazyjelly,Crazy Jelly,Slots,platipus
110,rouletteeuropean,European Roulette,Mesa,platipus
490,baccaratvip,Baccarat VIP,Cartas,platipus
99,baccarat,Baccarat PRO,Cartas,platipus
489,baccaratmini,Baccarat Mini,Cartas,platipus
93,blackjack,Blackjack,Cartas,platipus
487,blackjackvip,Blackjack Vip,Cartas,platipus
556,jokerchase,Joker Chase,Slots,platipus
557,poshcats,Posh Cats,Slots,platipus
559,piedradelsol,Piedra Del Sol,Slots,platipus
560,ninedragonkings,9 Dragon Kings,Slots,platipus
561,ninegems,9 Gems,Slots,platipus
563,waysofthegauls,Ways of the Gauls,Slots,platipus
564,wildcrowns,Wild Crowns,Slots,platipus
565,pearlsoftheocean,Pearls of the ocean,Slots,platipus
566,bonusdeuceswild,Bonus Deuces Wild,Slots,platipus
567,bookoflight,Book of Light,Slots,platipus
568,extragems,Extra gems,Slots,platipus
569,coinfest,Coinfest,Slots,platipus
570,hallowin,Hallowin,Slots,platipus
571,xmasavalanche,Xmas Avalanche,Slots,platipus
572,fruitboost,Fruit Boost,Slots,platipus
573,booksofgiza,Book of Giza,Slots,platipus
574,thebigscore,The Big Score,Slots,platipus
575,catchtheleprechaun,Catch the leprechaun,Slots,platipus
576,pirateslegacy,Pirates Legacy,Slots,platipus
577,acesandfaces,Aces and Faces,Slots,platipus
578,wildspindeluxe,Wild Spin Deluxe,Slots,platipus
580,twowaysroyal,2 Ways Royal,Slots,platipus
582,missgypsy,Miss Gypsy,Slots,platipus
583,thorturbopower,Thor Turbo Power,Slots,platipus
585,dragonselementdeluxe,Dragons Element Deluxe,Slots,platipus
586,wizardofthewild,Wizard of the wild,Slots,platipus
588,minerz,Minerz,Slots,platipus
590,ultradisco,Ultra Disco,Slots,platipus
591,vegasholdem,Vegas Hold'em,Poker,platipus
592,coincharge,Coin Charge,Slots,platipus
594,dragonsmoney,Dragons Money,Slots,platipus
596,wondereels,WondeReels,Slots,platipus
597,urbanneon,Urban Neon,Slots,platipus
599,multihandblackjack,Multihand Blackjack,Cartas,platipus
601,airboss,Air Boss,Slots,platipus
602,liverouletteeuropean,Live Roulette European,Mesa,platipus
603,juicywheel,Juicy Wheel,Slots,platipus
604,5000xrush,5000 x rush,Slots,platipus
606,firstofolympians,First of Olympians,Slots,platipus
610,mysterystones,Mystery Stones,Slots,platipus
112,rouletteamerican,American Roulette,Mesa,platipus
613,premiumeuropeanblackjack,Premium European Blackjack,Slots,platipus
614,missionvegas,Mission Vegas,Slots,platipus
615,liverouletteeuropeanvip,Live Roulette European VIP,Mesa,platipus
617,roulettemini,Mini Roulette,Mesa,platipus
618,slotcade,Slotcade,Slots,platipus
619,doublestream,Double Stream,Slots,platipus
624,fournumbers,4 Numbers,Slots,platipus
629,shakeandwin,Shake and Win,Slots,platipus
